ID,TARGET
460916695,1
435560377,1
10436924517,1
752352732,1
7454718934,1
1024004741,1
744094097,1
332176786,1
368131223,1
414589411,1
371727993,1
4108746885,1
734441518,1
5108240720,1
563027978,1
10449269529,1
566241358,1
742231217,1
1148455135,1
812733927,1
469236480,1
1147952298,1
1400550800,1
1015235131,1
1153827385,1
1438868168,1
338016462,1
815084541,1
88432525,1
632674046,1
346188387,1
107240146,1
89484680,1
10123685290,1
346051587,1
515496339,1
5424469578,1
1152779391,1
86777901,1
1153223448,1
1044994940,1
1153087138,1
10428645478,1
59824163,1
3428770974,1
451689225,1
1147444444,1
1152690215,1
6377081311,1
746724145,1
712180946,1
1044650802,1
10109767544,1
756164326,1
3109801997,1
1012005282,1
460937193,1
563231995,1
471288523,1
3443377119,1
733363013,1
753051604,1
5115215044,1
564433721,1
445646684,1
580175339,1
7402029848,1
10151396830,1
732219353,1
3101458107,1
5123410538,1
5116884572,1
746480098,1
415845062,1
745681192,1
3444095307,1
448051868,1
1133292144,1
1152588405,1
322299011,1
1142128408,1
1133047828,1
1144710023,1
566056559,1
323388183,1
755501571,1
7417395519,1
84577178,1
1138092696,1
1137147616,1
337258924,1
415857266,1
5377436606,1
742364423,1
568484849,1
736282591,1
5123079511,1
5111391506,1
1436465306,1
5123295592,1
1413840662,1
486517529,1
320460947,1
120443263,1
814225886,1
334858874,1
446583522,1
1433985624,1
344934178,1
750175977,1
632671364,1
333968669,1
4420269709,1
593321809,1
565922823,1
563009406,1
344990177,1
715548332,1
57678941,1
1152495363,1
647425660,1
755029683,1
1021548490,1
816746562,1
1023004707,1
5123922946,1
519585107,1
750311228,1
446333645,1
362616327,1
454964480,1
5442542709,1
825684122,1
1146809182,1
57165038,1
5404418706,1
453036708,1
10426423297,1
1152643669,1
1132853927,1
1146074103,1
4421919106,1
1140782166,1
376299243,1
376273903,1
1036957725,1
373029217,1
588247734,1
7403192937,1
10151877659,1
7406088547,1
587679659,1
155453783,1
590542633,1
522806737,1
812584977,1
510952185,1
474281347,1
3393589088,1
4435337518,1
335019300,1
1137257584,1
6431517253,1
759855467,1
1020526497,1
1148503905,1
4380523507,1
6435392625,1
497342855,1
637831658,1
1032566301,1
132129533,1
564056152,1
565995318,1
1152456414,1
10385251565,1
386912563,1
1144375574,1
581047610,1
713539888,1
580658787,1
570754899,1
1146603625,1
1446579369,1
419460117,1
1136309055,1
1407651728,1
1027040402,1
46887836,1
5108554385,1
5406204593,1
433116332,1
1384840138,1
574801076,1
1152486687,1
8444206626,1
131412611,1
10114142255,1
514420312,1
3106774229,1
1132527773,1
10152572415,1
730777210,1
5108236112,1
17606131,1
7165877710,1
5118760117,1
469992840,1
1150719304,1
5102587460,1
519926644,1
1153881252,1
1150696729,1
1152472137,1
10400057793,1
818887589,1
442935621,1
1440396789,1
647699049,1
453549993,1
1154341118,1
469192230,1
345265134,1
338147480,1
65224879,1
366971651,1
1154414328,1
752357597,1
461304991,1
84260411,1
1434744883,1
116265846,1
109719864,1
1041402437,1
571943696,1
523189182,1
3116550027,1
510294789,1
8413556262,1
84687158,1
578544565,1
373239839,1
5439090871,1
567358063,1
1034299186,1
645205967,1
462356930,1
1148720889,1
810395020,1
582580573,1
1385937810,1
465578324,1
371797943,1
3117909318,1
57687138,1
3393303591,1
449517361,1
1065738761,1
125233687,1
1045153405,1
1427394461,1
10148385642,1
812243588,1
562699448,1
10124013267,1
565391468,1
3151653136,1
5439346831,1
1153891548,1
8422559218,1
5105112365,1
573755523,1
1146095330,1
56063433,1
59685020,1
1148102072,1
593790104,1
1152840938,1
10151808763,1
10113689340,1
57528781,1
374650837,1
590473460,1
1137427577,1
1136931170,1
712480242,1
735122586,1
479362840,1
86170895,1
89114609,1
1402537457,1
564456499,1
5114977843,1
10446308486,1
435893863,1
1152720984,1
1154305106,1
1154116192,1
361511717,1
3152057661,1
8299859280,1
86339940,1
517502070,1
1380679726,1
8298074591,1
363744970,1
8433203601,1
456708373,1
1153293183,1
566305415,1
450478424,1
1034874784,1
511453104,1
756259523,1
374716330,1
756053820,1
712219785,1
566249049,1
448165894,1
366970751,1
513607692,1
457578723,1
421593886,1
5120098917,1
3112614260,1
565968232,1
412651618,1
108361894,1
517168394,1
333649912,1
564451546,1
1042538326,1
10445252561,1
825315183,1
8436353049,1
455995346,1
1147885311,1
19597680,1
1153162758,1
335799310,1
514663665,1
1014380968,1
524689202,1
373032096,1
573887770,1
387216720,1
574779108,1
3412045820,1
8451369883,1
450070495,1
3433838673,1
521769702,1
1126753608,1
16800144,1
564380157,1
562062752,1
1153814945,1
1011464183,1
131107959,1
3432365621,1
643840853,1
755010491,1
567298707,1
3151378444,1
511829081,1
816418139,1
3213130353,1
564998411,1
105803897,1
10451650690,1
1050020461,1
732981390,1
3404527104,1
88358575,1
572520147,1
510299786,1
464729949,1
5102358756,1
741382912,1
3401691665,1
461385155,1
5104648522,1
1053513107,1
